1,B01,Dibatalkan Oleh Klien,Proses ini telah dibatalkan oleh Klien,2021-07-21 08:00:10,2021-07-21 08:00:10
2,B02,Dibatalkan Oleh Tukang,Proses ini telah dibatalkan oleh Tukang,2021-07-21 08:00:10,2021-07-21 08:00:10
3,B03,Dibatalkan Oleh Admin,Proses ini telah dibatalkan oleh Admin,2021-07-21 08:00:10,2021-07-21 08:00:10
4,B04,Pengajuna telah dimenangkan pihak lain,Maaf pengajuan telah dimenangkan oleh pihak lain,2021-07-21 08:00:10,2021-07-21 08:00:10
5,D01A,Deal Klien,Proses ini telah disetujui oleh Klien,2021-07-21 08:00:10,2021-07-21 08:00:10
6,D01B,Deal Tukang,Proses ini telah disetujui oleh Tukang,2021-07-21 08:00:10,2021-07-21 08:00:10
7,D02,Deal,Proses ini telah disetujui kedua belah pihak,2021-07-21 08:00:11,2021-07-21 08:00:11
8,P01,Menunggu Pembayaran,Proses ini telah menunggu pembayaran,2021-07-21 08:00:11,2021-07-21 08:00:11
9,P01A,Menunggu ReUploading Pembayaran,Menunggu pegulangan pengungahan bukti transaksi,2021-07-21 08:00:11,2021-07-21 08:00:11
10,P01B,Menunggu Verifikasi Pembayaran,Menunggu Verifikasi Transaksi Pembayaran oleh admin,2021-07-21 08:00:11,2021-07-21 08:00:11
11,P02,Pembayaran Gagal,Proses ini dihentikan karena proses pembayaran tidak di laksanakan,2021-07-21 08:00:11,2021-07-21 08:00:11
12,P03,Pembayaran Sukses,Proses pembarayan sukses,2021-07-21 08:00:11,2021-07-21 08:00:11
13,T01,Pengajuan Terkirim,Pengajuan telah terkirim ke tukang,2021-07-21 08:00:11,2021-07-21 08:00:11
14,T02,Tukang menerbitkan penawaran,Tukang menerbitkan sebuah penawaran untuk projek ini,2021-07-21 08:00:11,2021-07-21 08:00:11
15,T03,Tukang Menolak Pengajuan,Pengajuan telah ditolak oleh tukang,2021-07-21 08:00:11,2021-07-21 08:00:11
16,N01,Pengajuan Diterima,Sebuah pengajuan telah diterima,2021-07-21 08:00:11,2021-07-21 08:00:11
17,S01,Tidak disunting,Dokumen tidak disunting,2021-07-21 08:00:11,2021-07-21 08:00:11
18,S02,Sunting,Dokumen telah disunting,2021-07-21 08:00:11,2021-07-21 08:00:11
19,A01,Menunggu Konfrimasi Admin,Menunggu pembayaran dikonfirmasi oleh admin,2021-07-21 08:00:11,2021-07-21 08:00:11
20,A02,Pembayaran ditolak Admin,Transaksi Pembayaran di tolak oleh admin,2021-07-21 08:00:11,2021-07-21 08:00:11
21,A03,Pembayaran dikonfirmasi oleh Admin,Transaksi Pembayaran telah dikonfirmasi oleh admin,2021-07-21 08:00:11,2021-07-21 08:00:11
22,ON01,Dalam proses pengerjaan,Projek masih dalam proses pengerjaan,2021-07-21 08:00:11,2021-07-21 08:00:11
23,ON02,Projek selesai Klien,Projek telah diverikiasi selesai oleh Klien,2021-07-21 08:00:11,2021-07-21 08:00:11
24,ON03,Projek dibatalkan,Projek dibatalkan karena alasan tertentu,2021-07-21 08:00:11,2021-07-21 08:00:11
